 ,DocumentNo,LineNo,Type,No,LocationCode,PostingGroup,ShipmentDate,Description,Description2,UnitofMeasure,Quantity,UnitPrice,UnitCostLCY,VAT,LineDiscount,LineDiscountAmount,Amount,AmountIncludingVAT,AllowInvoiceDisc,GrossWeight,NetWeight,UnitsperParcel,UnitVolume,AppltoItemEntry,ShortcutDimension1Code,ShortcutDimension2Code,CustomerPriceGroup,JobNo,WorkTypeCode,ShipmentNo,ShipmentLineNo,OrderNo,OrderLineNo,BilltoCustomerNo,InvDiscountAmount,DropShipment,GenBusPostingGroup,GenProdPostingGroup,VATCalculationType,TransactionType,TransportMethod,AttachedtoLineNo,ExitPoint,Area,TransactionSpecification,TaxCategory,TaxAreaCode,TaxLiable,TaxGroupCode,VATClauseCode,VATBusPostingGroup,VATProdPostingGroup,BlanketOrderNo,BlanketOrderLineNo,VATBaseAmount,UnitCost,SystemCreatedEntry,LineAmount,VATDifference,VATIdentifier,ICPartnerRefType,ICPartnerReference,PrepaymentLine,ICPartnerCode,PostingDate,ICItemReferenceNo,PmtDiscountAmount,LineDiscountCalculation,DimensionSetID,JobTaskNo,JobContractEntryNo,DeferralCode,AllocationAccountNo,VariantCode,BinCode,QtyperUnitofMeasure,UnitofMeasureCode,QuantityBase,FAPostingDate,DepreciationBookCode,DepruntilFAPostingDate,DuplicateinDepreciationBook,UseDuplicationList,ResponsibilityCenter,ItemCategoryCode,Nonstock,PurchasingCode,ItemReferenceNo,ItemReferenceUnitofMeasure,ItemReferenceType,ItemReferenceTypeNo,ApplfromItemEntry,ReturnReasonCode,PriceCalculationMethod,AllowLineDisc,CustomerDiscGroup,Pricedescription,GSTPlaceofSupply,GSTGroupCode,GSTGroupType,HSNSACCode,GSTJurisdictionType,InvoiceType,Exempted,GSTRoundingLine,GSTOnAssessableValue,GSTAssessableValueLCY,NonGSTLine,PriceExclusiveofTax,GSTCredit,UnitPriceInclofTax,TotalUPITAmount,FOC,GSTCustomerType,ChargeGroupCode,ChargeGroupLineNo,TCSNatureofCollection,AssesseeCode,Remark,VariantName,PLNo,ModelNo,SystemCreatedAt,SystemCreatedBy,SystemId,SystemModifiedAt,SystemModifiedBy
C000592,{7ED2E6B6-5388-4BB1-,20000,Item,FGSM00187,FG,FG-SOLAR,05-05-2026,SOLAR PANEL 520 WP MONO HALF CUT DCR BIFACIAL,,NUMBERS,308,11390,10189.11675,0,0,0,3508120,3508120,TRUE,0,0,0,0,0,UNIT-1,,,,,DS26-00403,10000,SO26-00174,10000,C000592,0,FALSE,NATIONAL,FG-SOLAR,Normal VAT,,,0,,,,,,FALSE,,,,,,0,3508120,10189.11675,FALSE,3508120,0,1, ,,FALSE,,05-06-2026,,0,None,888,,0,,,BRD-00191,,1,NOS,308,0001-01-01,,FALSE,,FALSE,,FG-SOLAR PANEL TB,FALSE,,,, ,,0,,Lowest Price,TRUE,,, ,,Goods,,Intrastate, ,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2026-05-06T08:55:48.633Z,849d181e-3d21-418b-b6bd-ab592bb57294,4c1d13fa-2649-f111-8ba4-0a94ef98bfef,2026-05-06T08:59:28.787Z,c34080f8-ba6e-4b21-a656-f9c1b6654867
,PSDN25-00001,10000, ,,FG,,0001-01-01,Credit Memo No. CN25-00224:,,,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,,,,,,,0,,0,,0,FALSE,,,Normal VAT,,,0,,,,,,FALSE,,,,,,0,0,0,FALSE,0,0,, ,,FALSE,,11-06-2025,,0,None,0,,0,,,,,1,,0,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,, ,TRUE,,, ,,Goods,,Intrastate,Debit Note,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2025-11-14T07:39:09.313Z,ffdda63b-630d-4074-b3f2-866dab870b21,4f8b3927-2bc1-f011-8b98-0a94ef98bfef,2025-11-14T07:39:09.313Z,ffdda63b-630d-4074-b3f2-866dab870b21
C000052,PSDN25-00001,20000,G/L Account,20001601,FG,,11-06-2025,SALE DOMESTICS,,NUMBERS,1,7095,0,0,0,0,7095,7095,FALSE,0,0,0,0,0,UNIT-1,,,,,,0,,0,C000395,0,FALSE,NATIONAL,G/L,Normal VAT,,,0,,,,,,FALSE,,,,,,0,7095,0,FALSE,7095,0,1, ,,FALSE,,11-06-2025,,0,None,888,,0,,,,,1,NOS,1,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,,Lowest Price,TRUE,,,Bill-to Address,GD-12%,Goods,85414300,Intrastate,Debit Note,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE,Registered,,0,,F,,,0,,2025-11-14T07:39:09.323Z,ffdda63b-630d-4074-b3f2-866dab870b21,508b3927-2bc1-f011-8b98-0a94ef98bfef,2025-11-14T07:39:09.323Z,ffdda63b-630d-4074-b3f2-866dab870b21
,PSDN25-00002,10000, ,,,,0001-01-01,Invoice No. SINV25-04584:,,,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,,,,,,,0,,0,,0,FALSE,,,Normal VAT,,,0,,,,,,FALSE,,,,,,0,0,0,FALSE,0,0,, ,,FALSE,,03-10-2026,,0,None,0,,0,,,,,1,,0,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,, ,TRUE,,, ,,Goods,,Intrastate,Debit Note,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2026-03-10T11:24:00.517Z,02cbed53-9edc-4163-a035-9e85c192fbc7,f791a482-691c-f111-8ba3-0a94ef98bfef,2026-03-10T11:24:00.517Z,02cbed53-9edc-4163-a035-9e85c192fbc7
,PSDN25-00002,30000, ,,,,0001-01-01,Shipment No. DS25-04120:,,,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,,,,,,,0,,0,,0,FALSE,,,Normal VAT,,,0,,,,,,FALSE,,,,,,0,0,0,FALSE,0,0,, ,,FALSE,,03-10-2026,,0,None,0,,0,,,,,1,,0,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,, ,TRUE,,, ,,Goods,,Intrastate,Debit Note,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2026-03-10T11:24:00.52Z,02cbed53-9edc-4163-a035-9e85c192fbc7,f891a482-691c-f111-8ba3-0a94ef98bfef,2026-03-10T11:24:00.52Z,02cbed53-9edc-4163-a035-9e85c192fbc7
C000551,PSDN25-00002,40000,G/L Account,20001601,FG,,03-10-2026,SALE DOMESTICS,,NUMBERS,1,634500,0,0,0,0,634500,634500,FALSE,0,0,0,0,0,UNIT-1,,,,,,0,,0,C000551,0,FALSE,NATIONAL,G/L,Normal VAT,,,0,,,,,,FALSE,,,,,,0,634500,0,FALSE,634500,0,1, ,,FALSE,,03-10-2026,,0,None,888,,0,,,,,1,NOS,1,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,,Lowest Price,TRUE,,,Bill-to Address,GD-05%,Goods,85414300,Intrastate,Debit Note,FALSE,FALSE,FALSE,0,FALSE,FALSE,Availment,0,0,FALSE,Registered,,0,,COM,,,0,,2026-03-10T11:24:00.523Z,02cbed53-9edc-4163-a035-9e85c192fbc7,fec5128b-691c-f111-8ba3-0a94ef98bfef,2026-03-10T11:24:00.523Z,02cbed53-9edc-4163-a035-9e85c192fbc7
,SINV24-02298,10000, ,,,,0001-01-01,Shipment No. DS24-01745:,,,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,UNIT-1,,,,,,0,,0,,0,FALSE,,,Normal VAT,,,0,,,,,,FALSE,,,,,,0,0,0,FALSE,0,0,, ,,FALSE,,02-01-2025,,0,None,0,,0,,,,,1,,0,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,, ,TRUE,,, ,,Goods,,Intrastate, ,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2025-02-17T13:16:18.637Z,6492c667-81c4-47fc-a778-650a4fc08f50,2e9f816d-2eed-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:01.257Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
C000106,SINV24-02298,20000,Item,FGSM00005,FG,FG-SOLAR,2/17/2025,SOLAR PANEL 520 WP MONO HALF CUT DCR,,NUMBERS,224,11440,5964.35,0,0,0,2562560,2562560,TRUE,0,0,0,0,0,UNIT-1,,,,,DS24-01745,10000,SO24-00676,10000,C000106,0,FALSE,NATIONAL,FG-SOLAR,Normal VAT,,,0,,,,,,FALSE,,,,,,0,2562560,5964.35,FALSE,2562560,0,1, ,,FALSE,,02-01-2025,,0,None,0,,0,,,BRD-00059,,1,NOS,224,0001-01-01,,FALSE,,FALSE,,FG-SOLAR PANEL WB,FALSE,,,, ,,0,,Lowest Price,TRUE,,,Bill-to Address,GD-12%,Goods,85414300,Interstate,Taxable,FALSE,FALSE,FALSE,0,FALSE,FALSE,Availment,0,0,FALSE,Registered,,0,,COM,,OSWAL,0,OSWAL520MP144,2025-02-17T13:16:30.877Z,6492c667-81c4-47fc-a778-650a4fc08f50,5f9f816d-2eed-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:01.26Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
,SINV24-02299,10000, ,,,,0001-01-01,Shipment No. DS24-01746:,,,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,UNIT-1,,,,,,0,,0,,0,FALSE,,,Normal VAT,,,0,,,,,,FALSE,,,,,,0,0,0,FALSE,0,0,, ,,FALSE,,02-01-2025,,0,None,0,,0,,,,,1,,0,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,, ,TRUE,,, ,,Goods,,Intrastate, ,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2025-02-20T12:34:57.187Z,6492c667-81c4-47fc-a778-650a4fc08f50,4240df1c-c8ed-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:02.773Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
C000106,SINV24-02299,20000,Item,FGSM00005,FG,FG-SOLAR,2/17/2025,SOLAR PANEL 520 WP MONO HALF CUT DCR,,NUMBERS,224,11440,5964.35,0,0,0,2562560,2562560,TRUE,0,0,0,0,0,UNIT-1,,,,,DS24-01746,10000,SO24-00676,10000,C000106,0,FALSE,NATIONAL,FG-SOLAR,Normal VAT,,,0,,,,,,FALSE,,,,,,0,2562560,5964.35,FALSE,2562560,0,1, ,,FALSE,,02-01-2025,,0,None,0,,0,,,BRD-00059,,1,NOS,224,0001-01-01,,FALSE,,FALSE,,FG-SOLAR PANEL WB,FALSE,,,, ,,0,,Lowest Price,TRUE,,,Bill-to Address,GD-12%,Goods,85414011,Intrastate,Taxable,FALSE,FALSE,FALSE,0,FALSE,FALSE,Availment,0,0,FALSE,Registered,,0,,COM,,OSWAL,0,OSWAL520MP144,2025-02-20T12:35:11.483Z,6492c667-81c4-47fc-a778-650a4fc08f50,7340df1c-c8ed-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:02.777Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
